Name,Discounted Price,Original Price,Images,Highlights,Gluten Free,Details,Directions,Warnings,Ingredients,Peanut Free,"Craving a drink with a kick? The On the Rocks Tres Generaciones Jalapeno Pineapple Margarita RTD Cocktail is the perfect combination of sweet and spicy. Made with Plata tequila, triple sec, pineapple, and jalapeño peppers, this premium cocktail will bring the bar to you. Crafted with natural ingredients and cane sugar, it's free of preservatives and ready to serve. Simply pour over ice for a refreshing drink that's perfect for any occasion—whether it's an unconventional setting or not. Get your hands on this bar-quality cocktail today through Instacart same-day delivery or pickup."
Daily's Strawberry Ready To Drink,,$2.99," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_fc5d68f2-46aa-49b9-bfd1-1f83e74cc53c.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_481f504f-5117-488e-ad0c-6f8ece06e128.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_8967c079-0db9-4d45-bf0f-340c6f256a07.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_19e674b3-2935-442a-9a8c-e4221bbbe52d.jpg 4x",,,"Enjoy vacation cocktail flavors anytime you’d like with a Daily’s Strawberry Daiquiri Frozen Cocktail Drink Pouch. This frozen drink is made with wine and delivers a perfect blend of sweet, juicy strawberry flavor in a convenient pouch. Enjoying delicious cocktails and feeling like you're on vacation has never been easier. Freeze the drink pouch for about 8 hours and gently massage the package before serving. You can run warm water over the frozen daiquiri to accelerate the thawing. Enjoy this delicious frozen cocktail in a glass or straight out of the pouch. No blender or ice needed for an easy, mess-free process. Daily’s Strawberry Daiquiri Frozen Cocktail is the perfect slushy drink to enjoy during a fun night in with friends. These frozen wine drinks are also a delicious option if you need alcoholic beverages for tailgate events, barbecues or a backyard pool party. Daily’s Strawberry Daiquiri Frozen Cocktails are certified Kosher and gluten free. This drink pouch is easy to store in the freezer, and it provides a convenient way to enjoy a frozen drink hassle-free. This 10 fl oz frozen cocktail contains alcohol and is to be enjoyed responsibly only by those 21 and older. Daily’s ready to drink frozen cocktails: simply freeze, squeeze and enjoy! Daily’s is the leader in frozen, ready to drink cocktails.,• One 10 fl oz Daily’s Strawberry Daiquiri Frozen Cocktail Drink Pouch,• A wine based frozen cocktail with a perfect blend of sweet, juicy strawberry flavor,• All you need to do is freeze the drink pouch for 8 hours, thaw and enjoy; no blender or ice needed,• Enjoy one of these slushy frozen cocktails during a night in, at a pool party or at a barbecue,• Easy to keep on hand in the freezer, this frozen drink pouch offers a way to enjoy a mess-free, hassle-free frozen cocktail anytime,• This frozen drink contains alcohol and is to be enjoyed responsibly only by those 21 and older,• Daily's Frozen Cocktails are available in a wide variety of delicious flavors for you to freeze, squeeze and enjoy",Freeze squeeze & enjoy. Directions: Freeze for about 8 hours and gently massage before serving. Run warm water over the pouch to accelerate thawing. Enjoy in a glass or out of the pouch. Do not microwave.,"Contains alcohol. No sales under 21.;Government Warning: (1) According to the surgeon general, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverage impairs your ability to drive a car or operate machinery, and may cause health problems.","Water, High Fructose Corn Syrup, Natural Flavors, Glycerin, Citric Acid, Sodium Polyphosphates, Pear Juice Concentrate, Wine, Sodium Benzoate And Potassium Sorbate (preservatives), Carbonated Water (water, Carbon Dioxide), Red 40, Sucralose, Calcium Disodium Edta (to Protect Flavor), Blue 1.",,
"Jack Daniel's Tennessee Whiskey, Tennessee, 1.75 L",,$39.69," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_c3966c0e-0bdc-4cea-aa1b-753e541ed6e7.jpeg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_09eaa0ed-0819-4449-b9b8-f7d2127e3551.jpeg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_68307b98-28e8-4c92-9444-9e8a42ef936b.jpeg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_ec896981-9c92-44f6-9e94-c414c25296a0.jpeg 4x",,,"Jack Daniel's Old No. 7 Tennessee Whiskey is one of the world's best-selling whiskeys with a smooth character and flavor, true to Mr. Jack Daniel's original recipe. This American whiskey is made from the finest corn, rye and barley malt mixed with the iron-free water that flows from the Cave Spring right on grounds of the distillery. From there, Jack Daniel's Tennessee Whiskey is charcoal mellowed, drop by drop, through 10 feet of sugar maple charcoal, which imparts the distinct smoothness of this best-in-class whiskey. Finally, Jack Daniel's Tennessee Whiskey is matured in handcrafted, charred white oak barrels until the tasters decide it's ready. Jack Daniel's Old No. 7 is perfect with great music and in great company. Enjoy it neat, on the rocks, or in your favorite cocktails and alcohol drinks, like an Old Fashioned or Whiskey Sour cocktail. Please Drink Responsibly.","Have it Jack's way. Enjoy your whiskey on the rocks, with great music, in great company.",Please drink responsibly,,,
"Clan MacGregor Whisky, Blended Scotch",$29.09,$31.79, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_8fa4c881-34c3-4ac7-af20-25fb9d917495.jpeg 4x,,,"Clan MacGregor Blended Scotch Whisky is made using fifteen of the finest malt and grain whiskies from the heart of Scotland. It is of exceptional quality with a delicate, sweet aroma and a smooth, mellow taste – which has won many awards over the years.,Clan MacGregor Scotch honors the MacGregors, one of Scotland’s oldest clans. Their renowned history dates back to the 14th century and our bottle proudly displays the Lion’s Head Crest, the symbol of the Clan Chief, Sir Malcolm MacGregor.,Drink responsibly.,• 100% Scotch whisky,• Is a light and fragrant whisky with a well-balanced, smooth, mellow taste,• Award-winning whisky distilled, blended, and aged in Scotland",,"Government Warning: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,,
Ketel One Botanical Cucumber & Mint Vodka Distilled With Real Botanicals And Infused With Natural Flavors,$26.49,$40.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_25a00305-e2e7-4604-ad41-cdb022657eff.jpg 4x,,,Ketel One Botanical Cucumber & Mint Vodka is meticulously crafted using non-GMO grain and features notes of crisp cucumbers and light tones of fresh garden mint. Perfect for any vodka soda.,No artificial flavors or sweeteners*,"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",Cucumber & Mint Vodka.,,
Hennessy Cognac VS,$29.09,$42.39, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_842609e2-8366-4282-b22a-2443ea30c984.jpeg 4x,,,"Maison Fondee on 1765. Only the most expressive and distinctive eaux-de-vie are selected, and then, carefully matured and blended to create Hennessey very special. Savour its unique blend of warm, full-bodied flavors, neat, on ice or with a mixer. www.hennessy.com. 40% Alc/Vol. Produced and bottled in France by JAs Hennessy & Co, 16100 Cognac.",{},"Government Warning: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,,
On The Rocks Tres Generaciones Jalapeño Pineapple Margarita,$13.29,$17.19," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_e545e723-b204-43b1-807f-1ffdc411176f.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_efe600d7-4db1-4f5c-b6e7-d77fb9a2d3e5.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_fb491be2-df4e-460d-bb4b-3cef0e6908ca.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_ef9179eb-fbdf-4783-af86-3df83ab5a958.png 4x",,,"Taste the modern twist on a classic with On The Rocks, OTR Jalapeno Pineapple Margarita Ready to Drink Cocktail. On The Rocks carefully crafts cocktails that make the moment. On the sofa, by the pool, at a festival, this sweet and spicy Margarita is ready to pour over ice and enjoy. Developed by mixologists, On The Rocks cocktails bring the bar to you with premium spirits and pure creativity. This beautifully balanced recipe is a culinary experience in a glass. A hint of jalapeno heat is combined with lime and pineapple flavors, triple sec and Tres Generaciones Tequila. Just pour over ice for effortless enjoyment, whether you’re serving friends who share your love for heat or celebrating the end of the week. Garnish with pineapple and jalapeno to elevate the evening. Each bottle contains 20% alcohol by volume and should be enjoyed responsibly. OTR delivers the bar wherever you are. Just open, pour over ice and enjoy.,• Smooth Tres Generaciones Tequila blended with triple sec, pineapple flavor and jalapeno make this OTR cocktail a happy hour favorite,• OTR provides a sweet and spicy twist on one of the world's most requested cocktails,• OTR craft cocktails made with the complexity and craftsmanship of the bar—but without the need for special ingredients or equipment,• OTR ready to drink cocktails are crafted carefully to enjoy effortlessly, whether you’re hosting a party or sitting on your patio,• OTR cocktails bring the bar to you with mixologist-crafted drinks that blend premium spirits and natural flavors,• Contains 20% alcohol by volume: Just open, pour over ice and enjoy",{},,,,
Daily's Bahama Mama Ready To Drink,,$2.99," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_65a7d5e9-00b6-4898-b9be-8df1453f82b7.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_fede9573-6c29-4ee5-9b2d-425cfe93bf88.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_52a79c74-76aa-4ff0-8734-8b5217d80f25.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_a322c6f9-39f6-44b3-b267-27531febee53.jpg 4x",,,"Enjoy vacation cocktail flavors anytime you’d like with a Daily’s Bahama Mama Frozen Cocktail Drink Pouch. This frozen drink is made with wine and delivers juicy pineapple, papaya, strawberry, mango and melon flavors in a convenient pouch. Enjoying delicious cocktails and feeling like you're on vacation has never been easier. Freeze the drink pouch for about 8 hours and gently massage the package before serving. You can run warm water over the pouch to accelerate the thawing. Enjoy this delicious frozen cocktail in a glass or straight out of the pouch. No blender or ice needed for an easy, mess-free process. Daily’s Bahama Mama Frozen Cocktail is the perfect slushy drink to enjoy during a fun night in with friends. These frozen wine drinks are also a delicious option if you need alcoholic beverages for tailgate events, barbecues or a backyard pool party. Daily’s Bahama Mama Frozen Cocktails are certified Kosher and gluten free. This drink pouch is easy to store in the freezer, and it provides a convenient way to enjoy a frozen drink hassle-free. This 10 fl oz frozen cocktail contains alcohol and is to be enjoyed responsibly only by those 21 and older. Daily’s ready to drink frozen cocktails: simply freeze, squeeze and enjoy! Daily’s is the leader in frozen, ready to drink cocktails.,• One 10 fl oz Daily's Bahama Mama Frozen Cocktail Drink Pouch,• A wine based frozen cocktail with juicy pineapple, papaya, strawberry, mango and melon flavors,• All you need to do is freeze the drink pouch for 8 hours, thaw and enjoy; no blender or ice needed,• Enjoy one of these slushy frozen cocktails during a night in, at a pool party or at a barbecue,• Easy to keep on hand in the freezer, this frozen drink pouch offers a way to enjoy a mess-free, hassle-free frozen cocktail anytime,• This frozen drink contains alcohol and is to be enjoyed responsibly only by those 21 and older,• Daily's Frozen Cocktails are available in a wide variety of delicious flavors for you to freeze, squeeze and enjoy",Freeze for about 8 hours and gently massage before serving. Run warm water over the pouch to accelerate thawing. Enjoy in a glassy out of the pouch. Do not microwave.,"Contains alcohol. No sales under 21.;Government warning: (1) According to the surgeon general, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.","Water, High Fructose Corn Syrup, Natural Flavors, Glycerin, Citric Acid, Sodium Polyphosphates, Pear Juice Concentrate, Wine, Xanthan Gum, Sodium Benzoate And Potassium Sorbate (preservatives), Gum Arabic, Carbonated Water (water, Carbon Dioxide), Medium Chain Triglycerides, Sucralose, Yellow 6, Calcium Disodium Edta (to Protect Flavor), Sodium Citrate, Red 40. Made With Wine.",,
818 Tequila Blanco,,$31.49," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_88a761a5-70d2-4ac2-9e1a-aaf313959e6c.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_4bd64eed-0086-4bd6-9e62-375b773d2639.png 4x",Gluten Free,,"The Magic of Handcrafted 818: We work closely with local, family-owned farms in Jalisco, Mexico to bring you the smoothest, most natural, and best tasting tequila possible. Only the highest quality ingredients are sued in its creation. The area code 818 is home to me, but the earth is home to all of us. So, from the agaves we grow, to the production of the bottle, sustainability and transparency of our supply chain was our core focus. We feel a great sense of responsibility and pride to have a positive impact on individuals, communities, and the environment. We’ve had so many magical nights drinking 818 and we hope you enjoy it as much as we do. -The 818 Team. Handpicked from farms in the Lowlands and Highlands of Jalisco. Roasted, distilled twice, and gluten free. Find out how we incorporate sustainability into 818 at drink818.com/sustainability.",,,,,
"Gordon's London Dry Gin, (75 Proof)",$33.09,$39.69, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_2b11d596-dcf9-4cb7-a419-8433fdaabf85.jpg 4x,,,"Gordon's London Dry Gin features notes of the finest handpicked juniper berries and a balance of fresh coriander, citrus and spice. Best enjoyed in a gin and tonic cocktail.",Best served in a classic gin and tonic.,"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,,
Smirnoff Raspberry Vodka,$14.59,$21.19, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_a27c55fd-d6c3-4207-a509-14ecc49bcbfb.jpg 4x,Gluten Free,,"Dive deep into a luscious berry haven with every sip of Smirnoff Raspberry. Infused with the natural taste of raspberries for a harmonious blend of tart, sweet and smooth, the tasty fruity flavors of Smirnoff Raspberry open up a world of endless drink ideas.",Enjoy with your favorite mixers or perfect for sipping solo,"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,,
Jägermeister Liqueur,,$45.49, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_d9510db5-508e-4f4c-91d4-e414adc25428.png 4x,Peanut Free,,"Dark, bold and packed with intense flavor, Jägermeister is unlike any liqueur you've ever enjoyed before. A true classic, the Jägermeister secret recipe hasn't changed since it was first made in 1934 in Wolfenbüttel, Germany. This dark-colored liqueur is made with 56 botanicals of herbs, roots, fruits, and spices sourced from all over the world for a complex flavor profile. The herbs and spices are blended together then steeped in water and alcohol to extract flavors before resting in oak barrels for nearly a year. The base is then mixed with water, caramelized sugar and alcohol before being bottled. Before this herbal liqueur reaches your glass, Jägermeister undergoes 383 quality checks from start to finish. Jägermeister’s flavor consists of five distinct notes, sweet, bitter, citrus, spicy, and aromatic, working together to create a balanced cordial that is unlike anything else. Initial tasting notes of anise, fennel, coffee, orange, burnt sugar and cola come to the forefront with a smooth, complex finish that is not overly sweet. Originally a celebratory drink for hunters, it's the ideal drink to mark any special occasion. Celebrate big wins, birthdays and milestone moments or kick off a well-deserved weekend with this iconic liqueur. The best way to enjoy Jägermeister is in the form of an ice-cold shot, served straight from the freezer. Jägermeister also brings complex flavor to a variety of classic cocktails. Embrace originality and try a Jägermeister Mule, Jägermeister Old Fashioned or Jägermeister and Tonic for delicious mixed drinks. Jägermeister has 35% ABV and should be enjoyed responsibly. Jägermeister is embraced by those who push the boundaries and rewrite the rules in every field. Long may it continue…",Best served ice-cold. Drink responsibly.,"(1) According to the surgeon general, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.","The full ingredient list of 56 herbs, blossoms, roots and fruits is a closely guarded secret, but we can share a few. Cinnamon bark, cardamom, star anise, licorice root, ginger root, galangal root, bitter orange peel, clove, chiretta, mace.",,
Cayman Jack Original Margarita Variety Pack,,$22.99," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_44809b06-0d41-4920-87b0-c0b29febd2a1.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_3eaf3686-e965-4c54-89e5-ff62d33f6fd9.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_2ff173aa-fe89-4d8c-a1f5-3b0eb9650c79.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_c39dd671-27f9-4c6c-a682-917c8bc72ec4.jpg 4x",Gluten Free,,"Cayman Jack® Variety Pack offers four refreshing, pre-made drink flavors: Margarita (classic), Cuban Mojito, Moscow Mule, and Paloma. Made with premium ingredients including 100% blue agave nectar and lime juice, and at 5.8% ABV, Cayman Jack® drinks make it easy to discover something unexpectedly great. The Cayman Jack® Mojito blends tart lime juice with fresh mint flavor, taking you on an exhilarating taste journey that concludes with a sweet, crisp finish. The Cayman Jack® Moscow Mule walks a tightrope of deliciousness between flavors of tart lime and sweet sugar – and nails a clean ending with just a hint of spicy ginger beer but not too sweet! This drink delivers that authentic mule taste with a perfect balance of lime notes and ginger spice. The Cayman Jack® Paloma uses real grapefruit juice and authentic agave nectar to refresh the senses in a way rivaled only by a tropical thunderstorm. And of course, enjoy the signature drink that started the flavor journey: the classic Margarita flavor with the ideal mingling of tart lime and notes of sweet agave nectar flavor. It’s a well-balanced drink that delivers that authentic Margarita taste. Cayman Jack® is a Premium Malt Beverage with Natural Flavors. The Cayman Jack® Variety Pack is available in a 12pk of 12oz cans. Discover the legend of Cayman Jack and learn more about our other drink flavors at www.caymanjack.com.,• Cayman Jack® Variety Pack offers four refreshing and classic flavors: Margarita, Moscow Mule, Mojito, and Paloma.,• Cayman Jack® Variety Pack flavors are made with premium ingredients with 5.8% ABV; they taste like they were hand-crafted right in front of you.,• All four drinks offer a delicious balance of flavors with a smooth finish; great for sipping chilled or on the rocks.,• Paloma is an exclusive flavor to this variety pack.,• Made with Premium Ingredients, such as agave nectar, mint extract, ginger beer, grapefruit and lime juice,• Premium Prepared Drinks made with premium malt beverage,• 5.8% ABV / 12oz Can",{},"Contains alcohol., Government Warning: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,,
Smirnoff Spicy Tamarind (Vodka Infused with Natural Flavors),$14.59,$21.19," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_0dea303b-cc96-4d53-ae8c-266e1270df80.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_94c7b5b1-cd99-412c-9877-1954b8453b13.jpg 4x",Gluten Free,,"A passionate blend of tangy, sweet, and sour—with a bottle that glows!",Best served as a shot or as part of great cocktails,"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,,
"Smirnoff Ice Green Apple, 11.2 fl oz, 6 Pack Bottles, 4.5% ABV",,$12.99," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_4d704119-b1fd-433f-8b86-1c43a5669972.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_f648293a-bef9-4697-8c0d-e3027baffebc.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_ce95f0df-9b9e-4155-9486-6f2692f85b93.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_ceedc651-2402-47e9-9e2b-a1e531a3ed5a.jpg 4x",,,"Spiked to perfection and ready to drink, Smirnoff Ice has a crisp, delicious flavor along with a refreshing tasting effervescence. You've got yourself the ideal drink for chilling by the pool, sipping on game day or relaxing by the fire. Try Smirnoff Ice in Blue Raspberry, Party Pack Variety, Green Apple, Red White & Berry, Neon Ice Variety, Pink Lemonade, Raspberry, Zero Sugar Original, Black Cherry, Mango, Grape, and more",Drink responsibly.,"Government Warning: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.","Green Apple, Natural Flavors.",,
Rémy Martin 1738 Accord Royal,$79.39,$112.49," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_66ec68cc-3787-4c8b-8d8a-2f5f952cf821.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_c88f1360-8b6b-4741-8071-bfde2dc4b39a.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_70599196-c7d6-4b15-9dc1-861fcdbfb0de.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_b94a229c-c4a4-499b-93f3-fa12f2c8ffb9.png 4x",,,"Born from the cask and named after a royal approval, Rémy Martin 1738 Accord Royal is a truly distinctive cognac; particularly smooth with a blend of uniquely oaky eaux-de-vie.",{},"Government Warning: (1) According to the Surgeon General women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.","Wine distillate, water, sugar, color : plain caramel",,
High Noon Black Cherry Vodka Hard Seltzer,,$11.99," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_09bdb646-eb8c-421b-a408-fe06300b52f5.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_05ddda2f-8b13-494d-a744-7c89d4ea3d13.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_edbebfb7-e067-4aa2-b85c-e4a7825272ee.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_ae2aad83-774c-425f-80a2-60bd226dac1e.png 4x",Gluten Free,,"Live like the sun's out with High Noon Black Cherry Vodka Seltzer. Made with real vodka & real juice, sparkling water and natural flavors, this black cherry hard seltzer offers tasting notes of black cherry with hints of red cherry juice flavors in a crisp, lively sparkling drink. With 100 calories, this hard seltzer is gluten free with no added sugar. Just toss these cans in the cooler or the fridge for convenient drinks during your next sunny adventure.,• Pack of four (4) High Noon Black Cherry Vodka Seltzer 355ml cans,• Made with real vodka + real juice, sparkling water and natural flavors,• Gluten free hard seltzer with 100 calories, no added sugar, and 4.5% alcohol by volume,• Tasting notes of black cherry with hints of red cherry juice flavors in a crisp, lively sparkling drink,• Enjoy by the pool, on the golf course, at a tailgate, or at any occasion under the sun",{},"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",Vodka & Soda,,
Tequila Herradura Reposado Tequila,$52.89,$66.19," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_e71d1e88-0849-4e99-97cb-227824e04ffb.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_87d1a214-2b7c-4c10-8418-2b5071be45f0.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_76ab85b6-e9bc-4171-ab80-681f41e18560.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_459ad2a2-e9db-4ca7-b51f-ca7c37b46f99.jpg 4x",,,"Tequila Herradura Reposado is the world's very first tequila reposado that is aged longer than the industry standard for 11 months in charred American white oak barrels. The additional time spent resting results in a deep copper-colored tequila liquor with a rounded taste. Each tequila bottle is filled with notes of cooked agave, vanilla and butter complemented by a smooth and sweet finish with a touch of spice. This tequila reposado is best enjoyed neat, on the rocks, in alcohol drinks or in classic, craft cocktails like a premium Margarita or a Classic Paloma. Enjoy an alcohol drink of reposado tequila with spicy food, smoked meat, and pork. Tequila Herradura Reposado is the winner of 49 awards since 2006, including 21 golds. Please Enjoy Responsibly.","Aged to perfection, Tequila Herradura Reposado is best enjoyed neat, on the rocks, or mixed in classic craft cocktails like a premium margarita or old fashioned.",Please drink responsibly,"Tapioca, Cane Sugar, Milk Powder, Coffee Extract, Salt, Caramel, Coconut Oil",,
Bumbu Original Craft Rum,,$37.99," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_2e990486-d538-4f4b-be87-4c096060ae9e.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_9045024f-c62f-4b6e-a073-ee7523d64c96.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_6788d908-703e-49e7-b688-0425afe4929b.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_f158d556-94de-4f24-917c-2dcc138c68a3.jpg 4x",,,"An authentic Caribbean legend, BUMBU is masterfully blended by hand from island rums and native spices chosen from across the West Indies. Based on 16th century native recipes, BUMBU reveals its history and craftsmanship in every sip. Product of Barbados.",{},"Government Warning: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,,
"Fireball Cinnamon Malt Beverage, 33 Proof",,," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_7524ff1c-34fe-41c3-bbe2-8154f91c3e44.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_3c8b97c8-bded-4cdd-94bd-f60686f6eb82.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_612f08ca-7984-409f-83c4-2326d49d978b.jpg 4x",,,"Ignite the Night with the heavenly taste and ferocious burn of a Fireball Cinnamon Malt Beverage. From the makers of Fireball Cinnamon Whisky, America’s #1 shot brand and #1 whiskey, this malt liquor alcoholic beverage is made with real cinnamon for a fiery kick of flavor. At 21% alcohol by volume, Fireball Cinnamon is the iconic choice for pregaming before a chill night out or celebrating with friends at your favorite bar. Fireball Cinnamon also tastes great when enjoyed straight or added to your favorite mixed drinks or a classic cocktail. The cinnamon flare of Fireball also enhances your favorite hard seltzer, hard cider and other alcoholic drinks. With countless ways to enjoy Fireball Cinnamon, bending the rules is easy - and delicious. Store Fireball at room temperature or store and pour straight from your fridge to enjoy a cool, spicy shot. Fireball is one of a kind, not to be replaced by any other copycat cinnamon whiskey. Fireball tastes like heaven and burns like hell.,• One 100ml plastic bottle of Fireball Cinnamon Malt Beverage, 66 Proof,• A one-of-a-kind flavored beverage made with real cinnamon, Fireball delivers an iconic fiery kick of red hot cinnamon flavor to any alcoholic beverage,• At 16.5% alcohol by volume, Fireball is delicious on the rocks and in a variety of alcoholic beverages, whiskey cocktails and mixed drinks,• Fireball Cinnamon Whisky is the #1 shot brand and #1 whiskey brand in the U.S.,• Celebrate any occasion with a Fireball shot, whether you crushed that big presentation at work or your favorite team just scored a touchdown",Best enjoyed however you enjoy it - perfect with a splash of this and a squeeze of that,"Government Warning: (1) According To The Surgeon General Women Should Not Drink Alcoholic Beverages During Pregnancy Because Of The Risk Of Birth Defects. (2) Consumption Of Alcoholic Beverages Impairs Your Ability To Drive A Car Or Operate Machinery, And May Cause Health Problems.",Grain,,
