Product Name,Price,Product Image,Produkttypen,Bitte beachten Sie,Für,Obermaterialien,Schuhsohle,Komforteigenschaften,Ausstattungen,Schuhtechnologie,Verschluss,Innenausstattung,Siegel,Serie,Obermaterial,Innenfutter,Ausstattung,Produkttyp,vegan,Innenausstattungen,Schuhtechnologien,Farbe,Stil,Serien,Stile,Bemerkung,Schuhweite,Muster,Verschlüsse,Farben
Vans Old Skool,"25,00 €",https://cdn.idealo.com/folder/Product/487/5/487558/s1_produktbild_gross/vans-old-skool.jpg,"Retro-Sneaker, Low-Top-Sneaker",Die Angebote können verschiedene Größen beinhalten.,,,Gummi,gepolstert,,,mit Schnürung,gepolsterter Knöchelbereich,,Vans Old Skool,,Textil,gepolsterte Zunge,,,,,,,,,,,,,
New Balance 327 Women,"59,99 €",https://cdn.idealo.com/folder/Product/200648/4/200648440/s1_produktbild_gross/new-balance-327-women.jpg,"Low-Top-Sneaker, Retro-Sneaker",Die Angebote können verschiedene Größen beinhalten.,Damen,"Mesh, Veloursleder",Gummi,,"Overlays, Gummi-Zehenkappe",,mit Schnürung,gepolsterter Knöchelbereich,"Sustainable Apparel Coalition, Leather Working Group, Better Cotton Initiative, Fair Labor Association",,,,,,,,,,,,,,,,,
Adidas Handball Spezial Women Shoes earth strata/off white/gum,"104,64 €",https://cdn.idealo.com/folder/Product/204302/9/204302946/s1_produktbild_gross/adidas-handball-spezial-women-shoes-earth-strata-off-white-gum.jpg,,Die Angebote können verschiedene Größen beinhalten.,,,Gummi,,,,mit Schnürung,,"Certification LEED, Leather Working Group, Better Cotton Initiative, Fair Labor Association, Fair Wear Foundation",Adidas Handball Spezial,Veloursleder,"Synthetik, Textil",,Low-Top-Sneaker,,,,braun,Vintage,,,,,,,
Converse Chuck Taylor All Star Lift High Top,"29,99 €",https://cdn.idealo.com/folder/Product/6430/6/6430652/s1_produktbild_gross/converse-chuck-taylor-all-star-lift-high-top.jpg,,Die Angebote können verschiedene Größen beinhalten.,Damen,"Textil, Canvas",Gummi,"flexibel, atmungsaktiv",,,mit Schnürung,,,Converse All Star,,Textil,Gummi-Zehenkappe,Plateau-Sneaker,,,,,,,,,,,,
Nike Air Max 90,"94,49 €",https://cdn.idealo.com/folder/Product/920/9/920965/s1_produktbild_gross/nike-air-max-90.jpg,"Low-Top-Sneaker, Retro-Sneaker",Die Angebote können verschiedene Größen beinhalten.,Herren,"Leder, Textil",Gummi,gepolstert,"verstärkte Schuhspitze, gepolsterte Zunge",Nike Air Sole (Dämpfung),mit Schnürung,,,Nike Air Max 90,,Textil,,,,,,,,,,,,,,
New Balance 574 Unisex,"51,99 €",https://cdn.idealo.com/folder/Product/202135/0/202135087/s1_produktbild_gross/new-balance-574-unisex.jpg,,Die Angebote können verschiedene Größen beinhalten.,Unisex,"Veloursleder, Mesh",Gummi,,,New Balance ENCAP,mit Schnürung,,"Sustainable Apparel Coalition, Leather Working Group, Better Cotton Initiative, Fair Labor Association",New Balance 574,,Textil,,Low-Top-Sneaker,,,,,,,,,,,,
Adidas Gazelle,"40,99 €",https://cdn.idealo.com/folder/Product/5071/3/5071323/s1_produktbild_gross/adidas-gazelle.jpg,"Retro-Sneaker, Low-Top-Sneaker",Die Angebote können verschiedene Größen beinhalten.,,"Leder, Wildleder",Gummi,atmungsaktiv,,,mit Schnürung,,,,,,,,nein,,,,,"Adidas Gazelle, Adidas Originals",,,,,,
Nike Dunk Low Retro,"62,99 €",https://cdn.idealo.com/folder/Product/201787/8/201787847/s1_produktbild_gross/nike-dunk-low-retro.jpg,"Retro-Sneaker, Low-Top-Sneaker",Die Angebote können verschiedene Größen beinhalten.,Herren,,"Gummi, Schaumstoff",,,,mit Schnürung,,,Nike Dunk,Leder,,,,,,,,,,,,,,,
New Balance 480,"20,00 €",https://cdn.idealo.com/folder/Product/201203/5/201203578/s1_produktbild_gross/new-balance-480.jpg,,Die Angebote können verschiedene Größen beinhalten.,Unisex,"Textil, Leder, Veloursleder",Gummi,,,,mit Schnürung,,"Sustainable Apparel Coalition, Leather Working Group, Better Cotton Initiative, Fair Labor Association",,,Textil,gepolsterte Zunge,Low-Top-Sneaker,,,,,,,,,,,,
Adidas Superstar,"16,20 €",https://cdn.idealo.com/folder/Product/362/9/362997/s1_produktbild_gross/adidas-superstar.jpg,"Retro-Sneaker, Low-Top-Sneaker",Die Angebote können verschiedene Größen beinhalten.,Unisex,,Gummi,,,,mit Schnürung,,,Adidas Superstar,,Textil,Gummi-Zehenkappe,,,,,,,,,,,,,
