Name,Discounted Price,Original Price,Images,Details,Ingredients,Directions,Highlights,Milk Free,Warnings,"Fresh, plump, and bursting with flavor, Naturipe Blueberries are a must-have for any fruit lover. Packed in an 18 oz bag, these blueberries are the perfect addition to your morning smoothie, afternoon snack, or dessert topping. Not only are they delicious, but they're also vegan and vegetarian-friendly! These little powerhouses of nutrition are loaded with antioxidants and vitamin C to help support a healthy immune system. With Instacart's same-day delivery or pickup, you can enjoy these tasty treats without ever leaving your home. Simply add Naturipe Blueberries to your next order and enjoy their sweet goodness in no time!",Gluten Free,"Say hello to Sunset Sugar Bombs! These delightful Grape Tomatoes On-The-Vine are perfect for a variety of dishes. They're vegan and vegetarian, so you can enjoy them regardless of your dietary restrictions. Each 12oz container is packed with juicy, sweet tomatoes that burst with flavor in every bite. Whether you're making a salad, cooking up a storm, or simply enjoying a snack, these Sugar Bombs will satisfy your cravings. With Instacart's same-day delivery or pickup, you can have these beauties at your doorstep in no time. So why wait? Go ahead and add Sunset Sugar Bombs to your next shopping list today!"
Bosc Pear,,$1.47, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_26c1a4bd-71ff-46e9-b28b-1e029ef5d24c.png 4x,,,,,,,,,
Green Kiwi,,$8.89, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_7590ddbc-f84e-4a78-ad53-707f62b49c07.jpg 4x,,,,,,,,,
Artichoke,$3.50,$3.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_4d13eb1e-5520-4e46-9268-e3a9e0844a7c.png 4x,Ocean Mist Farms Globe Artichoke.,,,,,,,,
Brussels Sprouts,,$4.59, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_783eacf4-ceb7-413e-ad71-c280187f517a.jpeg 4x,,,,,,,,,
Organic Girl Organic Supergreens!,,$5.59," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_8931d6a1-98d4-4904-a4ea-3146d0079532.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_72241673-d802-475c-8cc0-fd63c8076d78.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_43f34052-42eb-4ea2-8eee-563fc93cff99.jpg 4x","Our most nutritious salad! The extra nutrition of five superfood baby greens: red & green Swiss chard, tat soi, arugula & spinach. Pow! Good clean greens. Washed 3: We washed it 3 times so you don't have to. This container is made with 100% recycled plastic. USDA organic. Super Greens is super-nutritious! It's rich in antioxidants beta carotene, vitamin A and vitamin C, and an excellent source of vitamin K and B vitamin folate. It's a good source of calcium, potassium and magnesium. Plus it has 6.26 mg of lutein per serving. Bam! A delicious blend of five flavors! Tangy red and green chard, hearty tat soi, peppery arugula, and mild spinach. Go to iloveorganicgirl.com or find us on facebook for nutritional info & salad ideas. Certified organic by Quality Assurance International. Produce of USA.","Baby Red Chard, Baby Bok Choy, Baby Tatsoi, Baby Spinach, Baby Green Swiss Chard, Mizuna, Baby Arugula, Ingredients May Vary By Season.","Perishable, keep refrigerated.",,,,,,
Raspberries Package,,$3.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_a351b629-d2df-47c9-992e-7fca192e0b37.jpeg 4x,,,,,,,,,
Gala Apple Bag,,$7.79, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_627fbfc7-48b6-4866-a7fd-e64f1fdb51cb.jpg 4x,,,,,,,,,
Red Potato,,$0.72, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_ab4289ff-d4d2-4f09-b35c-8041ca64be95.png 4x,,,,,,,,,
Red On the Vine Tomato,,$1.66, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_75068ae6-6ba0-4376-af36-ef1b01b7b608.jpg 4x,,,,,,,,,
Broccoli Crown,,$2.76, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_77eaff3f-d8e0-4a59-8606-9f4c38815fcf.png 4x,Fresh Broccoli Crowns.,,,,,,,,
